username,player_id,mens_rating,mens_rd,womens_rating,womens_rd
cbva_norremark,3ceaf043-c35e-4776-a51b-e7161e8e610c,1505,68,1500,350
cbva_patrickwitting,bfe8abb4-e7c3-46b7-81d2-7e3ed0222621,1458,70,1500,350
cbva_hale,1fb799a3-1c11-4d72-adae-606a1c210d4e,1530,74,1500,350
cbva_cubanspikes,4f133841-40ed-409f-9def-ee82617d1261,1591,68,1500,350
cbva_nathanielh,6183ac61-9f58-41ca-a3e4-fbebba42b1f0,1495,68,1500,350
cbva_seventhsonmjg,be35989d-0e19-4f26-b1ec-9db5f257784a,1639,71,1500,350
cbva_chrisbriggs,7dc564d2-a689-4012-8beb-6c414fc8e9ae,1545,75,1500,350
cbva_andrewkaban,95f097f6-5c37-4c8b-afbf-613f7f3e7d7e,1592,108,1500,350
cbva_clayknapp,dca2f045-1a69-4323-87d4-e12d628e334a,1546,70,1500,350
cbva_jenellehughlett,84e4a258-343a-495d-a07e-7e191ebe8cd9,1500,350,1631,160
cbva_rochellepray,82ec3412-4ab1-4598-a746-589cd03b4225,1500,350,1631,160
cbva_corrinabenson,4d1fa621-7daf-42f9-ab83-4d409f34db92,1500,350,1369,213
cbva_kenziebwoo,fa8a7bcb-1b91-4085-91ea-ad4f3f2a0069,1500,350,1369,213
cbva_sandgela,b1bb706f-3a3e-437e-b7b4-560747c7e68f,1500,350,1614,70
cbva_kaseycarter,f2ba6fb3-5dd5-4799-bd3c-ac95487021a8,1500,350,1394,116
cbva_torribelle,e34cfe01-aa9e-4af1-a90e-d2d990d266a4,1500,350,1522,72
cbva_aprilheartz,524803d2-0138-4954-ab2a-40eb9c4dec6e,1500,350,1379,76
cbva_vennyvan,eb0b6b20-34e0-4247-85ec-dd7cc34c29d7,1500,350,1384,223
cbva_veronicasacchi,f8f00359-2b4d-43c9-8450-ef72b5fd0ffe,1500,350,1379,89
cbva_dstepien,f047f8be-3e79-43a1-888c-b540b3fddafb,1500,350,1491,120
cbva_emckinney,10d5746e-221a-4cba-aa28-cd331c88fef0,1500,350,1642,92
cbva_liaoishi,3d90e935-1fc0-42ac-9cc7-562add486a78,1500,350,1581,74
cbva_hannahmaura,df33e7bb-f668-4f61-b4d0-e82eabe11748,1500,350,1428,193
cbva_destineeblue,79d5b165-b111-49b3-a65f-cfac0d59a30b,1500,350,1487,79
cbva_ramonmontes,2afffe18-3335-4f96-8886-f5c34cf6762c,1473,68,1500,350
cbva_roberthamud,089e893f-2ff6-4a7f-b9e9-f0b27c703231,1477,69,1500,350
cbva_kennymai,c473f22f-73f7-4888-950a-48757c51910a,1503,72,1500,350
cbva_rbbeachbum,46930c54-65b9-4ef2-a413-8e4688ec3a75,1467,68,1500,350
cbva_fabiopasqualetti,01d2b7dc-560c-44a7-b25a-1a6d058f5251,1608,68,1500,350
cbva_hbvolleyball,2f3318cd-0586-42f7-a8ac-539b2f5a26fe,1449,130,1500,350
cbva_davisfam,867aa54c-be1a-44ec-8702-aa4ee92c0edb,1565,74,1500,350
cbva_michaelhaar,7dcc9aa4-af09-40e6-9f1a-4edb3250f1f5,1532,80,1500,350
cbva_psullivan,7903530c-4ce3-45b2-8fee-ac64cc6ddc5a,1386,133,1500,350
cbva_johnnypb,64b99a78-5835-471d-a5bb-a98e0ee4bb76,1503,110,1500,350
cbva_jreagancbva,5b23248c-9898-4363-846a-70ed533b0355,1606,166,1500,350
cbva_russavell,eb49e4db-6a06-470c-9694-376897769af5,1606,166,1500,350
cbva_adamgrif,f8e6e095-d764-4d82-ae72-61d85684a3bb,1469,68,1500,350
cbva_johngoodlad,53e6b2ce-7b6f-4157-ad1d-fd8a3058acc4,1475,69,1500,350
cbva_leonardbrown,214eeb81-55c1-4536-857f-03169cac0113,1497,80,1500,350
cbva_derekwhitis,1c66db80-30dd-4110-9682-46bf59bd5b01,1564,88,1500,350
cbva_toddalden,010b438d-765f-422a-a27b-ccad0084a619,1532,173,1500,350
cbva_jensontitus,70bbd317-aa02-48e6-9dd5-b533f9360036,1532,173,1500,350
cbva_dsokenfuss,a7a9c0f0-5b75-4260-9f41-e394fb483293,1475,80,1500,350
cbva_dukehovb,4e555f91-c222-49de-b1fa-eb564c1c0b1c,1426,74,1500,350
cbva_alexfriendly,39a7dc49-14cf-488e-9403-5b82048c18ad,1293,84,1500,350
cbva_peterhsu,96ee429c-022b-4024-a568-500b3ee6be89,1301,78,1500,350
cbva_erk,7fa3f897-24eb-484f-9d54-c02d12a619a1,1413,68,1500,350
cbva_tigerbalm,e486f18e-1eb9-4250-bf34-90fa8f74bfa8,1272,125,1500,350
cbva_kweberbyron,7da75eca-2f5b-43b1-8843-7af5e15c7131,1256,93,1500,350
cbva_leobrorito,7c7bef9d-46b9-41e8-bc5f-1d5292bc958e,1564,68,1500,350
cbva_connorcook,9954bd07-4294-4bb5-93e3-b11f46902e21,1596,69,1500,350
cbva_jakebecker,92e49668-f3d5-4ac5-8762-06ba19d91c99,1299,153,1500,350
cbva_slabella,aea1962a-341c-4454-b342-f59fe9640f6f,1613,71,1500,350
cbva_dwnoodle,2b7b9e95-70c3-4ec7-b6f9-ae7d55a0eaca,1613,71,1500,350
cbva_rubyruby,8e824aa7-5d5f-4584-b065-a58b3b66badf,1558,74,1500,350
cbva_kdadacay,ba320be6-acbf-41f4-acb8-86805049a68c,1563,120,1500,350
cbva_saint,ca97a641-9e74-4885-a2a0-5e404f1b7660,1506,69,1500,350
cbva_garrettedell,99ce828a-1cb7-4510-8860-37ff912665d4,1318,103,1500,350
cbva_chuckbicks,eb19b622-b3f8-4c45-8819-b9a87fab7910,1337,92,1500,350
cbva_edjgeorge,96b9b7d0-2bfe-4629-af9e-fc4681f42e8e,1668,131,1500,350
cbva_tarmander,900595d7-020b-4cdb-8d4c-2522b74fd834,1556,68,1500,350
cbva_denvercohen,83de88d1-4e9f-4079-9da4-65d99c6a397c,1621,68,1500,350
cbva_spa,21042275-a432-4a86-b875-3163a40bc226,1547,76,1500,350
cbva_darwinchangman,2ad30107-eb89-424f-ae1c-8116d0bce6fe,1441,76,1500,350
cbva_tillreufsteck,001b3311-11f6-4222-9efd-97ed824f59c2,1326,210,1500,350
cbva_itssunnyv,0128fc42-fa96-4c0d-b27e-68abb79e73f2,1400,118,1500,350
cbva_byron,b0cc6c62-864c-410f-a6e0-57ea502da1e6,1491,76,1500,350
cbva_king,d84d3ab6-ef0a-433f-8dd7-f6e8daac8ce7,1481,174,1500,350
cbva_coachleandro,83dae690-1e40-417c-8820-9b8ad23a7f58,1540,95,1500,350
cbva_tomkohler,783bff6e-b486-4060-9412-8a326254c43e,1524,68,1500,350
cbva_beachcrush,61f6a552-bad9-4a75-8100-978020ea6da5,1534,68,1500,350
cbva_landonmonroe,812242a7-ad81-4c79-aee3-7b7606954a49,1530,78,1500,350
cbva_davidbarney,1c34d44b-3426-49b7-a531-3e13cc991349,1466,68,1500,350
cbva_eduardomota,ec5a3735-13b0-4b8a-8a87-9a67b23d9c6a,1569,72,1500,350
cbva_artbyserafin,c5708631-beb8-4363-8fe2-035a01463eae,1568,72,1500,350
cbva_boomboom,dc14100f-9ef0-4066-9a81-76158c700724,1376,115,1500,350
cbva_matthewjbutler,4b11ec28-d913-441b-9b6c-ea0b45ca0217,1602,90,1500,350
cbva_drizzmevans,2d5d4f1b-95d6-4ebb-b0bf-69824d3ca601,1533,87,1500,350
cbva_danlozada,f8253681-580e-4a2f-b272-cce1b02932d3,1574,68,1500,350
cbva_jacoblafazio,97d14688-1d21-4c8a-b02b-a31a5469ba03,1626,68,1500,350
cbva_sam,2d4ba665-b621-47e5-9a9a-32f4b08a68bb,1521,68,1500,350
cbva_hamoon,09fea0d1-7a29-429d-9e07-0f3158591d23,1510,97,1500,350
cbva_danibond,14675d2c-1c29-4312-8ffd-3355ae95e175,1431,85,1500,350
cbva_arnaudjeglot,1ccb9c85-2de5-4d6e-adbb-9ce37f1e742c,1536,68,1500,350
cbva_raffepaulis,2913a1ad-f0f1-4832-9ddf-e815ac55cad6,1505,104,1500,350
cbva_bmachado,64d939ac-de35-44a1-a856-65b3b8d539d3,1510,68,1500,350
cbva_cartermirabal,4ead6dc3-f05a-4dce-84cc-faefa295f80c,1646,79,1500,350
cbva_trentgoldmann,bc9e3ce9-a8ab-4bdb-9e36-0689bfcca8dc,1662,68,1500,350
cbva_ben,5a63798e-b0ae-449e-850b-bbb5dff48628,1618,68,1500,350
cbva_ecbarber,c85ec983-f106-4268-91d1-a8ae7c739a91,1595,125,1500,350
cbva_andyrios,dab09a37-4a9f-4590-8faf-0f546d12bf3c,1416,70,1500,350
cbva_juniorrojas,8b6825ef-b626-44d1-acd8-c16cd8858df1,1492,69,1500,350
